"","age","gender","white","nrsk1","nrsk2","nrsk3","nrsk4","nben1","nben2","nben3","nben4","rskben","plantSite","plantNew","morePlants","college","grad","ideology","democrat","republican","con","liberal","year"
"92",54,1,0,10,10,5,10,0,0,0,0,4,1,1,1,1,0,3,1,0,0,1,2006
"93",56,1,1,3,5,5,2,8,8,10,10,3,7,7,7,1,1,2,1,0,0,1,2006
"94",69,0,1,8,6,5,1,5,6,6,8,3,4,3,3.5,0,0,5,0,1,1,0,2006
"95",60,1,1,1,1,1,1,10,10,10,10,7,7,7,7,1,0,5,0,0,1,0,2006
"96",53,0,1,6,7,8,7,7,5,7,7,4,5,4,4.5,1,0,2,0,1,0,1,2006
"97",70,0,1,8,8,10,0,10,8,10,10,4,5,7,6,0,0,6,0,1,1,0,2006
"98",33,0,1,4,4,6,7,6,6,6,6,5,5,3,4,1,1,3,1,0,0,1,2006
"99",46,1,1,1,1,4,NA,7,6,5,9,5,3,2,2.5,1,1,5,NA,NA,1,0,2006
"100",42,0,1,4,4,3,4,5,5,5,4,4,4,4,4,0,0,2,NA,NA,0,1,2006
"101",68,1,1,5,2,4,3,5,7,5,5,5,5,6,5.5,0,0,6,0,1,1,0,2006
"102",61,0,1,10,10,10,10,0,0,0,0,NA,1,1,1,0,0,4,1,0,0,0,2006
"103",86,0,0,7,7,10,5,NA,5,2,6,NA,3,1,2,0,0,4,0,1,0,0,2006
"104",59,1,0,2,3,8,2,8,10,9,7,5,7,7,7,0,0,2,1,0,0,1,2006
"105",51,1,1,5,4,7,6,8,5,5,4,5,2,2,2,0,0,4,1,0,0,0,2006
"106",54,1,0,10,10,10,10,5,5,5,5,5,3,3,3,0,0,5,0,1,1,0,2006
"107",43,0,1,5,7,8,10,9,8,7,9,3,7,5,6,0,0,7,0,1,1,0,2006
"108",70,0,1,8,8,10,10,8,NA,8,8,6,5,3,4,1,0,2,1,0,0,1,2006
"109",40,0,1,10,10,10,10,10,10,10,10,4,4,4,4,0,0,5,0,1,1,0,2006
"110",37,1,1,7,5,7,1,6,7,6,5,5,4,3,3.5,1,0,6,0,1,1,0,2006
"111",53,1,1,9,9,9,9,5,5,5,5,4,3,3,3,0,0,2,1,0,0,1,2006
"112",69,1,1,5,5,6,6,5,5,6,6,5,5,5,5,1,1,5,1,0,1,0,2006
"113",67,0,0,10,10,10,10,8,10,10,10,7,5,7,6,0,0,6,1,0,1,0,2006
"114",35,1,1,4,5,8,5,5,10,10,8,6,5,6,5.5,0,0,5,0,1,1,0,2006
"115",43,0,1,8,8,9,9,6,5,5,6,6,2,2,2,0,0,6,0,1,1,0,2006
"116",59,1,1,4,2,2,8,8,8,8,0,3,5,3,4,1,1,1,1,0,0,1,2006
"117",54,0,1,6,6,4,4,6,5,3,5,5,1,1,1,0,0,2,1,0,0,1,2006
"118",49,0,1,10,10,10,10,1,5,5,5,5,6,5,5.5,0,0,4,0,1,0,0,2006
"119",29,1,0,10,10,5,10,10,10,10,10,4,7,1,4,0,0,4,0,1,0,0,2006
"120",38,1,1,3,5,5,10,5,3,4,2,2,1,1,1,1,0,2,0,0,0,1,2006
"121",30,1,1,2,1,3,7,8,8,7,4,5,6,5,5.5,1,1,2,1,0,0,1,2006
"122",55,0,1,4,8,8,5,5,8,10,10,5,2,4,3,0,0,5,0,1,1,0,2006
"123",18,0,0,7,7,7,7,4,5,4,4,2,4,4,4,0,0,6,0,1,1,0,2006
"124",51,0,1,3,4,6,0,7,5,5,3,4,4,3,3.5,1,0,6,0,1,1,0,2006
"125",31,0,1,8,6,4,4,8,8,8,6,6,5,6,5.5,0,0,5,0,1,1,0,2006
"126",62,1,0,10,10,10,10,10,10,10,10,5,1,1,1,0,0,6,1,0,1,0,2006
"127",34,1,1,3,4,6,5,9,9,9,8,6,7,6,6.5,1,1,6,0,1,1,0,2006
"128",57,0,1,6,5,5,5,7,7,7,7,4,5,4,4.5,1,0,6,0,1,1,0,2006
"129",50,1,1,5,5,0,0,10,0,10,5,4,1,7,4,1,0,5,0,1,1,0,2006
"130",78,0,NA,10,10,10,10,NA,10,10,10,6,7,7,7,0,0,4,NA,NA,0,0,2006
"131",NA,0,0,5,5,10,6,10,8,10,9,4,3,3,3,1,0,5,NA,NA,1,0,2006
"132",39,0,1,10,10,9,10,NA,6,6,2,2,1,1,1,1,1,7,0,1,1,0,2006
"133",52,0,1,10,7,10,10,5,0,0,0,1,1,1,1,1,1,5,0,1,1,0,2006
"134",64,1,1,10,10,10,10,0,0,0,0,4,7,1,4,1,0,4,0,1,0,0,2006
"135",60,1,1,5,10,10,5,5,3,7,3,4,5,5,5,0,0,6,0,1,1,0,2006
"136",58,1,1,5,7,5,5,6,5,4,4,7,7,7,7,1,0,7,0,0,1,0,2006
"137",50,0,1,2,2,3,3,8,8,8,8,5,4,4,4,0,0,4,0,0,0,0,2006
"138",86,0,1,10,10,10,10,5,7,5,5,5,5,7,6,0,0,4,0,1,0,0,2006
"139",56,1,1,2,3,3,6,10,8,10,10,6,6,6,6,1,0,7,0,1,1,0,2006
"140",36,0,1,10,10,10,8,5,7,10,5,4,4,1,2.5,1,0,2,0,0,0,1,2006
"141",34,1,1,6,5,8,7,10,8,10,8,6,4,5,4.5,1,1,4,1,0,0,0,2006
"142",76,0,1,10,10,10,10,8,10,10,10,6,7,7,7,1,0,3,1,0,0,1,2006
"143",54,1,0,5,5,10,10,5,5,5,5,4,1,1,1,0,0,6,0,0,1,0,2006
"144",78,0,0,10,10,10,10,3,5,10,0,7,7,1,4,0,0,3,1,0,0,1,2006
"145",54,1,1,5,3,3,10,8,8,8,9,5,7,7,7,0,0,4,0,0,0,0,2006
"146",55,1,1,1,3,5,0,10,10,10,10,6,6,6,6,1,1,7,NA,NA,1,0,2006
"147",44,0,1,10,10,10,6,3,3,3,6,1,1,3,2,0,0,4,NA,NA,0,0,2006
"148",37,0,0,4,3,10,NA,NA,NA,NA,5,4,5,2,3.5,0,0,6,0,1,1,0,2006
"149",40,0,1,5,5,6,7,8,6,7,4,5,6,6,6,1,1,6,NA,NA,1,0,2006
"150",56,0,1,8,7,7,4,NA,4,3,3,4,3,4,3.5,0,0,2,1,0,0,1,2006
"151",45,1,1,5,0,0,10,10,5,5,5,7,1,1,1,1,0,2,1,0,0,1,2006
"152",24,1,1,3,3,5,3,8,10,8,8,7,7,7,7,0,0,5,1,0,1,0,2006
"153",59,0,0,8,8,10,9,6,7,5,7,7,6,4,5,0,0,6,1,0,1,0,2006
"154",38,0,1,9,9,10,9,5,5,5,5,4,2,1,1.5,1,1,6,0,1,1,0,2006
"155",70,0,1,3,3,3,3,10,10,10,10,7,7,7,7,0,0,7,0,1,1,0,2006
"156",57,1,1,0,1,3,1,10,10,10,10,7,7,7,7,1,1,6,0,1,1,0,2006
"157",76,1,1,5,7,7,6,6,6,6,7,5,4,5,4.5,1,1,4,0,1,0,0,2006
"158",59,1,1,3,3,2,2,10,3,3,6,5,4,3,3.5,1,1,1,1,0,0,1,2006
"159",24,0,0,0,5,5,0,5,5,5,5,5,1,1,1,0,0,3,1,0,0,1,2006
"160",78,1,1,10,5,5,5,5,5,2,2,4,5,2,3.5,0,0,7,0,1,1,0,2006
"161",52,0,1,10,10,10,10,3,4,3,3,5,7,1,4,0,0,4,0,1,0,0,2006
"162",64,1,1,8,8,8,5,10,10,6,0,1,1,1,1,1,1,3,1,0,0,1,2006
"163",73,1,0,7,8,9,8,7,8,7,6,5,5,6,5.5,0,0,4,1,0,0,0,2006
"164",24,1,1,2,2,3,1,8,8,7,9,6,6,6,6,1,0,3,1,0,0,1,2006
"165",36,1,1,1,2,1,4,10,10,10,9,7,7,7,7,0,0,6,0,1,1,0,2006
"166",NA,0,1,8,9,7,10,10,10,10,6,7,1,1,1,0,0,4,0,1,0,0,2006
"167",19,0,0,7,5,9,6,8,6,5,7,3,4,3,3.5,0,0,4,1,0,0,0,2006
"168",37,1,1,3,2,2,3,4,8,5,9,5,5,4,4.5,0,0,3,1,0,0,1,2006
"169",71,0,1,5,5,3,7,10,10,10,10,6,4,4,4,1,1,2,1,0,0,1,2006
"170",47,1,1,1,1,2,2,7,8,8,6,6,5,5,5,1,1,6,0,1,1,0,2006
"171",47,1,1,1,2,3,1,3,8,8,5,6,5,4,4.5,1,0,2,1,0,0,1,2006
"172",63,0,1,3,2,5,3,8,8,8,6,6,6,6,6,1,0,5,NA,NA,1,0,2006
"173",78,0,1,4,4,8,8,8,8,8,8,7,7,7,7,0,0,4,1,0,0,0,2006
"174",32,1,1,5,5,5,5,10,10,10,10,5,6,5,5.5,0,0,7,0,1,1,0,2006
"175",63,1,1,8,9,9,8,9,9,9,9,5,4,4,4,1,0,4,1,0,0,0,2006
"176",42,0,0,10,10,10,10,8,3,8,8,5,7,1,4,1,1,4,NA,NA,0,0,2006
"177",54,0,1,4,4,4,4,10,10,10,10,5,5,4,4.5,1,1,2,1,0,0,1,2006
"178",28,1,1,4,6,3,6,2,8,6,3,1,2,1,1.5,1,1,2,1,0,0,1,2006
"179",33,1,1,5,4,3,5,4,6,8,5,5,5,3,4,0,0,5,0,1,1,0,2006
"180",35,0,1,5,3,3,6,7,10,7,8,6,6,5,5.5,1,0,4,1,0,0,0,2006
"181",37,0,1,10,10,10,8,7,7,7,NA,6,5,3,4,1,0,5,NA,NA,1,0,2006
"182",48,0,1,8,6,6,6,2,2,2,6,5,2,1,1.5,0,0,5,0,1,1,0,2006
"183",33,0,0,8,7,6,5,9,6,9,10,7,3,1,2,1,0,5,0,0,1,0,2006
"184",58,0,1,1,1,NA,2,NA,9,9,9,6,7,7,7,1,1,2,1,0,0,1,2006
"185",54,0,1,5,8,6,7,7,10,8,7,4,5,4,4.5,1,0,5,NA,NA,1,0,2006
"186",56,0,1,2,3,3,3,10,10,10,10,7,7,7,7,1,0,3,1,0,0,1,2006
"187",49,0,1,5,10,7,8,8,8,8,8,6,3,2,2.5,1,0,3,0,0,0,1,2006
"188",53,0,1,5,4,6,4,10,9,10,9,4,1,5,3,0,0,4,1,0,0,0,2006
"189",72,1,1,10,8,9,2,5,9,5,5,7,5,4,4.5,1,0,7,0,1,1,0,2006
"190",71,0,1,5,7,6,4,6,7,5,6,4,6,5,5.5,0,0,7,0,1,1,0,2006
"191",69,0,1,10,10,10,10,7,7,7,7,4,5,4,4.5,1,1,3,1,0,0,1,2006
"192",50,0,1,8,7,8,8,6,6,6,7,5,5,2,3.5,1,1,1,1,0,0,1,2006
"193",53,0,1,8,6,9,5,5,5,6,6,4,3,2,2.5,0,0,5,1,0,1,0,2006
